city,state,date_time,shape,duration
Sandy Hook,CT,2017-07-31T22:00:00,fireball,1 - 5 minutes
Buffalo,NY,2017-07-31T22:00:00,oval,< 1 minute
Woodford,VA,2017-07-31T21:15:00,disk,6 - 10 minutes
Benicia,CA,2017-07-31T21:00:00,sphere,< 1 minute
Bennington,NE,2017-07-31T16:04:00,light,< 1 minute
Eastern Shore,VA,2017-07-31T15:00:00,chevron,< 1 minute
Kapaa,HI,2017-07-31T07:21:00,other,< 1 minute
West Green,GA,2017-07-31T05:30:00,diamond,16 - 20 minutes
Rising Sun,MD,2017-07-31T02:15:00,light,16 - 20 minutes
Buffalo,NY,2017-07-31T01:52:00,fireball,< 1 minute
Fayetteville,NC,2017-07-31T01:00:00,cigar,< 1 minute
Oshawa,ON,2017-07-31T00:50:00,unknown,< 1 minute
East Stroudsburg,PA,2017-07-31T00:00:00,unknown,6 - 10 minutes
Marstons Mills,MA,2017-07-30T22:24:00,unknown,1 - 5 minutes
Greenbrier,TN,2017-07-30T19:55:00,disk,1 - 5 minutes
Norfolk,VA,2017-07-30T19:30:00,cylinder,1 - 5 minutes
Pikeville,NC,2017-07-30T04:00:00,circle,61 - 120 minutes
Chattanooga,TN,2017-07-30T03:45:00,oval,61 - 120 minutes
Victoria,BC,2017-07-30T03:00:00,light,1 - 5 minutes
Grayling,MI,2017-07-30T02:00:00,unknown,61 - 120 minutes
Lethbridge,AB,2017-07-30T00:25:00,chevron,< 1 minute
Lexington,NC,2017-07-29T23:30:00,triangle,1 - 5 minutes
Everett,WA,2017-07-29T23:00:00,circle,1 - 5 minutes
Bellingham,WA,2017-07-29T23:00:00,other,< 1 minute
Collingwood,ON,2017-07-29T22:50:00,other,16 - 20 minutes
Denver,CO,2017-07-29T22:45:00,unknown,1 - 5 minutes
Bellevue,WA,2017-07-29T22:45:00,circle,< 1 minute
Enumclaw,WA,2017-07-29T22:15:00,fireball,< 1 minute
Tobyhanna,PA,2017-07-29T22:10:00,sphere,< 1 minute
Little River,SC,2017-07-29T22:00:00,fireball,1 - 5 minutes
Bothell,WA,2017-07-29T22:00:00,cone,< 1 minute
Keller,TX,2017-07-29T22:00:00,formation,1 - 5 minutes
Yelm,WA,2017-07-29T21:58:00,light,< 1 minute
Chehalis,WA,2017-07-29T21:58:00,circle,< 1 minute
Olalla,WA,2017-07-29T21:58:00,light,< 1 minute
Spokane,WA,2017-07-29T21:55:00,unknown,< 1 minute
Harrison,ID,2017-07-29T21:55:00,fireball,< 1 minute
Kent,WA,2017-07-29T21:55:00,other,< 1 minute
Black Diamond,WA,2017-07-29T21:55:00,teardrop,< 1 minute
Bellevue,WA,2017-07-29T21:55:00,fireball,< 1 minute
Pilot Point,TX,2017-07-29T21:30:00,rectangle,< 1 minute
Santa Fe,NM,2017-07-29T21:30:00,cylinder,6 - 10 minutes
Chanhassen,MN,2017-07-29T21:20:00,disk,1 - 5 minutes
Worcester,MA,2017-07-29T21:15:00,light,1 - 5 minutes
